Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64823984,2025-05-02 11:08:17,05/02/2025 02:08:48 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10453.0,2015 CRESTON AVENUE,CRESTON AVENUE,BUSH STREET,EAST BURNSIDE AVENUE,BUSH STREET,EAST BURNSIDE AVENUE,ADDRESS,BRONX,CRESTON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/02/2025 02:08:52 PM,05 BRONX,14.0,Precinct 46,2028070070.0,BRONX,"1,010,397","249,710",ONLINE,Unspecified,BRONX,,,,,,,,40.8520325101,-73.90548654524,POINT (-73.905486545241 40.852032510103)
67295864,2025-12-25 01:25:33,12/25/2025 04:23:40 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,10463.0,3150 BAILEY AVENUE,BAILEY AVENUE,,,,,ADDRESS,BRONX,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,12/25/2025 12:00:00 AM,08 BRONX,14.0,Precinct 50,2032610086.0,BRONX,"1,011,414","259,460",PHONE,Unspecified,BRONX,,,,,,,,40.87879021526,-73.90177088166,POINT (-73.90177088166 40.878790215258)
66253469,2025-09-23 18:40:24,09/23/2025 06:50:05 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10466.0,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/23/2025 06:50:08 PM,12 BRONX,11.0,Precinct 47,2048330028.0,BRONX,"1,022,911","264,242",MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649,-73.86016845296,POINT (-73.860168452965 40.891872416493)
64001943,2025-02-06 14:57:35,02/06/2025 08:16:51 PM,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,,Street/Sidewalk,10468.0,2381 GRAND CONCOURSE,GRAND CONCOURSE,EAST  184 STREET,EAST  187 STREET,EAST  184 STREET,EAST  187 STREET,ADDRESS,BRONX,GRAND CONCOURSE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,02/06/2025 08:16:54 PM,05 BRONX,14.0,Precinct 46,2031650063.0,BRONX,"1,012,248","252,406",MOBILE,Unspecified,BRONX,,,,,,,,40.85942654448,-73.89878448856,POINT (-73.898784488559 40.859426544478)
63907379,2025-01-27 17:19:29,01/28/2025 11:47:57 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,10462.0,2180 BOLTON STREET,BOLTON STREET,,,,,ADDRESS,BRONX,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",01/28/2025 12:00:00 AM,11 BRONX,13.0,Precinct 49,2043170092.0,BRONX,"1,020,586","251,092",ONLINE,Unspecified,BRONX,,,,,,,,40.85578963148,-73.86864896506,POINT (-73.868648965063 40.855789631478)
66248236,2025-09-23 01:57:56,09/23/2025 02:43:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,Street/Sidewalk,10472.0,1580 WATSON AVENUE,WATSON AVENUE,WARD AVENUE,MANOR AVENUE,WARD AVENUE,MANOR AVENUE,ADDRESS,BRONX,WATSON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/23/2025 02:43:57 AM,09 BRONX,18.0,Precinct 43,2037160036.0,BRONX,"1,018,585","240,372",MOBILE,Unspecified,BRONX,,,,,,,,40.8263743965,-73.87593725509,POINT (-73.875937255087 40.826374396498)
63922111,2025-01-29 16:45:04,01/30/2025 10:54:55 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,10453.0,65 EAST  175 STREET,EAST  175 STREET,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",01/30/2025 12:00:00 AM,05 BRONX,14.0,Precinct 46,2028500067.0,BRONX,"1,008,893","247,913",ONLINE,Unspecified,BRONX,,,,,,,,40.84710460484,-73.91092964892,POINT (-73.910929648917 40.847104604836)
65701125,2025-07-29 02:29:10,07/29/2025 04:12:42 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,10461.0,1651 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,PIERCE AVENUE,VAN NEST AVENUE,PIERCE AVENUE,VAN NEST AVENUE,ADDRESS,BRONX,WILLIAMSBRIDGE ROAD,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,07/29/2025 04:12:50 AM,11 BRONX,13.0,Precinct 49,2041070017.0,BRONX,"1,025,825","248,276",ONLINE,Unspecified,BRONX,,,,,,,,40.84803744232,-73.84972799756,POINT (-73.849727997565 40.848037442316)
66211191,2025-09-19 20:53:35,09/19/2025 10:21:31 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10465.0,3220 MIDDLETOWN ROAD,MIDDLETOWN ROAD,DWIGHT PLACE,ROBERTSON PLACE,DWIGHT PLACE,ROBERTSON PLACE,ADDRESS,BRONX,MIDDLETOWN ROAD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/19/2025 10:21:34 PM,10 BRONX,13.0,Precinct 45,2054110331.0,BRONX,"1,033,095","247,878",ONLINE,Unspecified,BRONX,,,,,,,,40.8469078281,-73.82345369377,POINT (-73.823453693775 40.846907828096)
63950448,2025-01-31 22:15:54,02/01/2025 06:36:59 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,10471.0,5535 NETHERLAND AVENUE,NETHERLAND AVENUE,,,,,ADDRESS,BRONX,,,Closed,,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,02/01/2025 12:00:00 AM,08 BRONX,11.0,Precinct 50,2059500430.0,BRONX,"1,010,114","268,519",ONLINE,Unspecified,BRONX,,,,,,,,40.90365819629,-73.90643688418,POINT (-73.906436884185 40.903658196293)
64816499,2025-05-01 07:29:00,05/01/2025 08:45:00 AM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),SA3,,10467.0,2275 BARKER AVENUE,BARKER AVENUE,THWAITES PL,WARING AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection has investigated this complaint and has performed repair work.,05/01/2025 08:45:00 AM,11 BRONX,15.0,Precinct 49,2043400078.0,BRONX,"1,020,346","252,440",ONLINE,Unspecified,BRONX,,,,,,,,40.85949046808,-73.86950928099,POINT (-73.86950928099 40.859490468077)
63726329,2025-01-11 10:25:37,01/11/2025 12:11:24 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10466.0,661 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 12:11:28 PM,12 BRONX,11.0,Precinct 47,2048330027.0,BRONX,"1,022,955","264,223",MOBILE,Unspecified,BRONX,,,,,,,,40.89182007469,-73.86000942108,POINT (-73.860009421079 40.891820074686)
65695974,2025-07-29 14:28:59,12/16/2025 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,,,10460.0,1750 MELVILLE STREET,MELVILLE STREET,,,,,ADDRESS,BRONX,,,Assigned,,The Department of Buildings reviewed this complaint and assigned it to the Boiler Division for further action.,12/16/2025 12:00:00 AM,11 BRONX,13.0,Precinct 49,2040200053.0,BRONX,"1,020,165","246,207",UNKNOWN,Unspecified,BRONX,,,,,,,,40.8423834871,-73.87019700312,POINT (-73.870197003115 40.842383487103)
67178539,2025-12-14 14:45:29,12/14/2025 03:16:51 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10466.0,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",12/14/2025 03:16:56 PM,12 BRONX,11.0,Precinct 47,2048330028.0,BRONX,"1,022,911","264,242",MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649,-73.86016845296,POINT (-73.860168452965 40.891872416493)
67179932,2025-12-14 16:48:59,12/14/2025 07:01:19 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,10456.0,1230 WEBSTER AVENUE,WEBSTER AVENUE,EAST  168 STREET,EAST  169 STREET,EAST  168 STREET,EAST  169 STREET,ADDRESS,BRONX,WEBSTER AVENUE,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",12/14/2025 07:01:23 PM,03 BRONX,16.0,Precinct 42,2023950001.0,BRONX,"1,009,294","242,584",MOBILE,Unspecified,BRONX,,,,,,,,40.83247693042,-73.9095001638,POINT (-73.9095001638 40.832476930422)
64096582,2025-02-16 04:53:13,02/17/2025 09:19:06 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,10466.0,643 EAST  232 STREET,EAST  232 STREET,,,,,ADDRESS,BRONX,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",02/17/2025 12:00:00 AM,12 BRONX,11.0,Precinct 47,2048350026.0,BRONX,"1,023,074","264,779",PHONE,Unspecified,BRONX,,,,,,,,40.89334559372,-73.85957579171,POINT (-73.859575791713 40.893345593723)
66199580,2025-09-18 09:08:24,09/20/2025 02:01:24 PM,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Blocking,Sidewalk,10469.0,3422 GRACE AVENUE,GRACE AVENUE,TILLOTSON AVENUE,BOSTON ROAD,TILLOTSON AVENUE,BOSTON ROAD,ADDRESS,BRONX,GRACE AVENUE,,Closed,,The Department of Sanitation (DSNY) gave the business a violation.,09/18/2025 11:33:28 PM,12 BRONX,12.0,Precinct 47,2048860051.0,BRONX,"1,028,602","259,613",ONLINE,Unspecified,BRONX,,,,,,,,40.87914051389,-73.83961558196,POINT (-73.839615581961 40.879140513892)
65616899,2025-07-20 22:26:19,07/21/2025 04:09:16 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10464.0,600 CITY ISLAND AVENUE,CITY ISLAND AVENUE,CROSS STREET,BEND,CROSS STREET,BEND,ADDRESS,BRONX,CITY ISLAND AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/21/2025 04:09:24 AM,10 BRONX,13.0,Precinct 45,2056360001.0,BRONX,"1,042,116","250,667",ONLINE,Unspecified,BRONX,,,,,,,,40.85450827502,-73.79082406063,POINT (-73.790824060628 40.854508275023)
67178773,2025-12-14 20:04:22,12/16/2025 02:20:02 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,10467.0,3450 GATES PLACE,GATES PLACE,,,,,ADDRESS,BRONX,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",12/16/2025 12:00:00 AM,07 BRONX,11.0,Precinct 52,2033240055.0,BRONX,"1,016,490","261,029",ONLINE,Unspecified,BRONX,,,,,,,,40.88307954572,-73.88340776878,POINT (-73.883407768778 40.883079545724)
65513214,2025-07-09 23:55:11,07/10/2025 06:59:17 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,10457.0,365 FORD STREET,FORD STREET,DEAD END,WEBSTER AVENUE,DEAD END,WEBSTER AVENUE,ADDRESS,BRONX,FORD STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/10/2025 06:59:20 AM,05 BRONX,15.0,Precinct 46,2031430155.0,BRONX,"1,012,972","251,036",MOBILE,Unspecified,BRONX,,,,,,,,40.85566398165,-73.89617303039,POINT (-73.896173030388 40.855663981652)
66370547,2025-10-05 01:44:35,10/05/2025 04:38:40 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10452.0,1020 WALTON AVENUE,WALTON AVENUE,EAST  164 STREET,EAST  165 STREET,EAST  164 STREET,EAST  165 STREET,ADDRESS,BRONX,WALTON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/05/2025 04:38:44 AM,04 BRONX,16.0,Precinct 44,2024710011.0,BRONX,"1,005,816","241,902",ONLINE,Unspecified,BRONX,,,,,,,,40.83061421464,-73.92207056628,POINT (-73.922070566283 40.830614214643)
66433249,2025-10-10 13:35:07,10/14/2025 08:54:31 PM,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,BROKEN OR MISSING,RESIDENTIAL BUILDING,10457.0,405 EAST  182 STREET,EAST  182 STREET,,,,,ADDRESS,BRONX,,,Closed,,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",10/14/2025 12:00:00 AM,06 BRONX,15.0,Precinct 48,2030300136.0,BRONX,"1,012,954","250,734",ONLINE,Unspecified,BRONX,,,,,,,,40.85483514089,-73.89623939155,POINT (-73.896239391546 40.854835140887)
67030538,2025-12-02 20:34:36,12/03/2025 04:01:54 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,10457.0,265 EAST  182 STREET,EAST  182 STREET,,,,,ADDRESS,BRONX,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",12/03/2025 12:00:00 AM,05 BRONX,15.0,Precinct 46,2031500045.0,BRONX,"1,012,093","251,000",MOBILE,Unspecified,BRONX,,,,,,,,40.8555679883,-73.89935066841,POINT (-73.899350668415 40.855567988298)
66794486,2025-11-11 17:22:28,11/11/2025 06:08:05 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10468.0,2730 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST KINGSBRIDGE ROAD,WEST  195 STREET,WEST KINGSBRIDGE ROAD,WEST  195 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,11/11/2025 06:08:09 PM,08 BRONX,14.0,Precinct 50,2032480150.0,BRONX,"1,011,138","256,394",ONLINE,Unspecified,BRONX,,,,,,,,40.87037583951,-73.90278124334,POINT (-73.90278124334 40.870375839512)
65518123,2025-07-10 13:19:19,07/10/2025 01:19:19 PM,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,,10473.0,880 BOYNTON AVENUE,BOYNTON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/10/2025 12:00:00 AM,09 BRONX,18.0,Precinct 43,2036270050.0,BRONX,"1,018,430","238,528",UNKNOWN,Unspecified,BRONX,,,,,,,,40.8213137458,-73.87650670954,POINT (-73.876506709541 40.821313745801)
66257569,2025-09-24 21:00:49,09/24/2025 10:54:42 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10455.0,706 BROOK AVENUE,BROOK AVENUE,BERGEN AVENUE,EAST  156 STREET,BERGEN AVENUE,EAST  156 STREET,ADDRESS,BRONX,BROOK AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/24/2025 10:54:46 PM,01 BRONX,17.0,Precinct 40,2023597501.0,BRONX,"1,008,473","237,754",ONLINE,Unspecified,BRONX,,,,,,,,40.81922225157,-73.91248439244,POINT (-73.912484392437 40.819222251567)
64813793,2025-05-01 10:44:08,06/06/2025 06:41:47 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,BASIN CHIPPED OR RUSTED,RESIDENTIAL BUILDING,10468.0,2547 AQUEDUCT AVENUE WEST,AQUEDUCT AVENUE WEST,,,,,ADDRESS,BRONX,,,Closed,,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,06/06/2025 12:00:00 AM,07 BRONX,14.0,Precinct 52,2032140086.0,BRONX,"1,011,398","254,718",PHONE,Unspecified,BRONX,,,,,,,,40.86577493714,-73.90184795398,POINT (-73.901847953983 40.865774937143)
